Ref,Package,PosX,PosY,Rot,Side
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,0.000000,63.600000,0.000000,top
C1,C_0805_2012Metric,22.250000,62.500000,270.000000,top
C2,C_1206_3216Metric,-8.000000,79.700000,180.000000,top
C3,C_0805_2012Metric,18.000000,57.500000,90.000000,top
C4,C_0805_2012Metric,22.250000,57.500000,90.000000,top
D1,D_SOD-123,22.200000,52.500000,270.000000,top
D2,D_0805_2012Metric,10.000000,87.000000,90.000000,top
D3,D_SOD-123,-112.651918,66.964854,175.000000,top
D4,D_SOD-123,-93.674545,77.350387,175.000000,top
D5,D_SOD-123,-75.220106,81.758751,175.000000,top
D6,D_SOD-123,-57.767958,74.710877,175.000000,top
D7,D_SOD-123,-40.054343,70.651586,175.000000,top
D8,D_SOD-123,40.054342,70.651587,185.000000,top
D9,D_SOD-123,57.767958,74.710877,185.000000,top
D10,D_SOD-123,75.220106,81.758751,185.000000,top
D11,D_SOD-123,93.674545,77.350387,185.000000,top
D12,D_SOD-123,112.651918,66.964854,185.000000,top
D13,D_SOD-123,-114.133566,50.029544,175.000000,top
D14,D_SOD-123,-95.156192,60.415077,175.000000,top
D15,D_SOD-123,-76.701753,64.823442,175.000000,top
D16,D_SOD-123,-59.249605,57.775567,175.000000,top
D17,D_SOD-123,-41.535990,53.716277,175.000000,top
D18,D_SOD-123,41.535990,53.716277,185.000000,top
D19,D_SOD-123,59.249605,57.775567,185.000000,top
D20,D_SOD-123,76.701753,64.823442,185.000000,top
D21,D_SOD-123,95.156192,60.415077,185.000000,top
D22,D_SOD-123,114.133566,50.029544,185.000000,top
D23,D_SOD-123,-115.615213,33.094234,175.000000,top
D24,D_SOD-123,-96.637840,43.479767,175.000000,top
D25,D_SOD-123,-78.183401,47.888132,175.000000,top
D26,D_SOD-123,-60.731253,40.840258,175.000000,top
D27,D_SOD-123,-43.017638,36.780967,175.000000,top
D28,D_SOD-123,43.017638,36.780967,185.000000,top
D29,D_SOD-123,60.731253,40.840258,185.000000,top
D30,D_SOD-123,78.183401,47.888132,185.000000,top
D31,D_SOD-123,96.637840,43.479767,185.000000,top
D32,D_SOD-123,115.615213,33.094234,185.000000,top
D33,D_SOD-123,-68.954060,22.469130,170.000000,top
D34,D_SOD-123,-49.345851,18.190361,165.000000,top
D35,D_SOD-123,-29.629555,10.731548,155.000000,top
D36,D_SOD-123,29.629555,10.731548,205.000000,top
D37,D_SOD-123,49.345851,18.190361,195.000000,top
D38,D_SOD-123,68.954060,22.469130,190.000000,top
D39,D_0805_2012Metric,-10.000000,87.000000,270.000000,top
D40,SOT-143,0.000000,76.500000,180.000000,top
F1,Fuse_1206_3216Metric,8.000000,79.700000,180.000000,top
Q1,SOT-23,18.000000,52.550000,180.000000,top
R1,R_0805_2012Metric,5.000000,76.100000,90.000000,top
R2,R_0805_2012Metric,8.600000,76.000000,180.000000,top
R3,R_0805_2012Metric,22.250000,67.500000,90.000000,top
R4,R_0805_2012Metric,11.900000,87.000000,90.000000,top
R5,R_0805_2012Metric,-5.000000,76.100000,90.000000,top
R6,R_0805_2012Metric,-8.600000,76.000000,180.000000,top
R7,R_0805_2012Metric,18.000000,47.700000,90.000000,top
R8,R_0805_2012Metric,22.200000,47.700000,270.000000,top
R9,R_0805_2012Metric,-11.900000,87.000000,270.000000,top
SW1,custom-reset-switch,-25.000000,84.000000,180.000000,top
SW38,OS102011MA1QN1,25.000000,83.000000,0.000000,top
U2,SOT-23-5,18.000000,62.500000,0.000000,top
U3,SOT-23-5,18.000000,67.500000,0.000000,top
U4,nRF52840_holyiot_18010,0.000000,0.000000,180.000000,top
USB1,HRO-TYPE-C-31-M-12-HandSoldering,0.000000,90.100000,180.000000,top