Designator,MidX,MidY,Layer,Rotation
C1,22.250000,62.500000,top,270.000000
C2,-8.000000,79.700000,top,180.000000
C3,18.000000,57.500000,top,90.000000
C4,22.250000,57.500000,top,90.000000
D1,22.200000,52.500000,top,270.000000
D2,10.000000,87.000000,top,90.000000
D3,-112.651918,66.964854,top,175.000000
D4,-93.674545,77.350387,top,175.000000
D5,-75.220106,81.758751,top,175.000000
D6,-57.767958,74.710877,top,175.000000
D7,-40.054343,70.651586,top,175.000000
D8,40.054342,70.651587,top,185.000000
D9,57.767958,74.710877,top,185.000000
D10,75.220106,81.758751,top,185.000000
D11,93.674545,77.350387,top,185.000000
D12,112.651918,66.964854,top,185.000000
D13,-114.133566,50.029544,top,175.000000
D14,-95.156192,60.415077,top,175.000000
D15,-76.701753,64.823442,top,175.000000
D16,-59.249605,57.775567,top,175.000000
D17,-41.535990,53.716277,top,175.000000
D18,41.535990,53.716277,top,185.000000
D19,59.249605,57.775567,top,185.000000
D20,76.701753,64.823442,top,185.000000
D21,95.156192,60.415077,top,185.000000
D22,114.133566,50.029544,top,185.000000
D23,-115.615213,33.094234,top,175.000000
D24,-96.637840,43.479767,top,175.000000
D25,-78.183401,47.888132,top,175.000000
D26,-60.731253,40.840258,top,175.000000
D27,-43.017638,36.780967,top,175.000000
D28,43.017638,36.780967,top,185.000000
D29,60.731253,40.840258,top,185.000000
D30,78.183401,47.888132,top,185.000000
D31,96.637840,43.479767,top,185.000000
D32,115.615213,33.094234,top,185.000000
D33,-68.954060,22.469130,top,170.000000
D34,-49.345851,18.190361,top,165.000000
D35,-29.629555,10.731548,top,155.000000
D36,29.629555,10.731548,top,205.000000
D37,49.345851,18.190361,top,195.000000
D38,68.954060,22.469130,top,190.000000
D39,-10.000000,87.000000,top,270.000000
D40,0.000000,76.500000,top,180.000000
F1,8.000000,79.700000,top,180.000000
Q1,18.000000,52.550000,top,180.000000
R1,5.000000,76.100000,top,90.000000
R2,8.600000,76.000000,top,180.000000
R3,22.250000,67.500000,top,90.000000
R4,11.900000,87.000000,top,90.000000
R5,-5.000000,76.100000,top,90.000000
R6,-8.600000,76.000000,top,180.000000
R7,18.000000,47.700000,top,90.000000
R8,22.200000,47.700000,top,270.000000
R9,-11.900000,87.000000,top,270.000000
U2,18.000000,62.500000,top,0.000000
U3,18.000000,67.500000,top,0.000000
USB1,0.000000,90.100000,top,180.000000
BT1,0.000000,63.0,top,0.0